bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,package_distance,pair_divergence
Closure_3,0,1,0.9414,0.6122,0.0000,0.5763
Closure_3,0,2,0.8782,0.7685,0.0000,0.6749
Closure_3,1,2,0.9719,0.6375,0.0000,0.6196
Closure_4,0,1,0.0000,0.4940,0.0000,0.0000
Closure_6,0,1,1.0000,0.3170,0.0000,0.3170
Closure_6,0,2,0.0282,0.7170,0.0000,0.0202
Closure_6,1,2,0.9922,0.7170,0.0000,0.7114
Closure_9,0,1,0.9690,0.5268,0.0000,0.5105
Closure_16,0,1,0.9601,0.6838,0.0000,0.6565
Closure_21,0,1,0.9458,0.3199,0.0000,0.3026
Closure_24,0,1,0.9320,0.0000,0.0000,0.0000
Closure_25,0,1,0.8367,0.0000,0.0000,0.0000
Closure_26,0,1,0.9736,0.4076,0.0000,0.3968
Closure_26,0,2,0.9596,0.4732,0.0000,0.4541
Closure_26,1,2,0.9206,0.5268,0.0000,0.4850
Closure_27,0,1,0.9726,0.2242,0.0000,0.2181
Closure_27,0,2,0.9578,0.4485,0.0000,0.4296
Closure_27,1,2,0.9622,0.5207,0.0000,0.5010
Closure_29,0,1,0.9657,0.5518,0.0000,0.5329
Closure_29,0,2,0.9298,0.5081,0.0000,0.4724
Closure_29,1,2,0.9990,0.5081,0.0000,0.5076
Closure_30,0,1,0.9993,1.0000,0.3333,0.5552
Closure_30,0,2,0.9688,1.0000,0.3333,0.5382
Closure_30,0,3,0.9967,1.0000,0.3333,0.5537
Closure_30,1,2,0.9911,0.6858,0.0000,0.6797
Closure_30,1,3,0.9743,0.5124,0.0000,0.4993
Closure_30,2,3,0.9922,0.7107,0.0000,0.7051
Closure_32,0,1,0.9804,0.4735,0.0000,0.4642
Closure_32,0,2,0.9381,0.4253,0.0000,0.3990
Closure_32,0,3,0.9597,0.4735,0.0000,0.4544
Closure_32,1,2,0.9805,0.3663,0.0000,0.3592
Closure_32,1,3,0.9813,0.4253,0.0000,0.4174
Closure_32,2,3,0.9805,0.1832,0.0000,0.1796
Closure_34,0,1,0.9864,0.7158,0.0000,0.7061
Closure_34,0,2,0.9900,1.0000,0.3333,0.5500
Closure_34,1,2,0.9764,1.0000,0.3333,0.5424
Closure_37,0,1,0.8992,1.0000,0.4286,0.5567
Closure_39,0,1,0.9932,0.4940,0.0000,0.4906
Closure_41,0,1,0.9277,0.5565,0.0000,0.5163
Closure_43,0,1,0.9806,0.2939,0.0000,0.2882
Closure_43,0,2,0.9803,0.4794,0.0000,0.4699
Closure_43,1,2,0.6675,0.5563,0.0000,0.3714
Closure_45,0,1,0.9773,0.3020,0.0000,0.2952
Closure_45,0,2,0.9822,0.7445,0.0000,0.7312
Closure_45,1,2,0.9883,0.7051,0.0000,0.6969
Closure_47,0,1,0.9346,1.0000,0.6667,0.7269
Closure_49,0,1,0.3422,0.6770,0.0000,0.2317
