bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_file,avg_divergence
Closure_50,2,1,0.8934,0.517,0.0,0.3201
Closure_51,2,1,0.9124,0.4421,0.0,0.2796
Closure_53,2,1,1.0,0.3115,0.0,0.2159
Closure_54,3,3,0.978033,0.884333,0.380933,0.7453
Closure_6,3,3,0.673467,0.583667,0.0,0.384
Closure_60,2,1,0.9824,0.604,0.0,0.4113
Closure_64,2,1,0.9666,0.6085,0.0,0.4077
Closure_68,3,3,0.666667,0.7064,0.0,0.5748
Closure_72,2,1,0.9845,1.0,0.3333,0.3791
Closure_74,2,1,0.9557,0.3142,0.0,0.2081
Closure_75,2,1,0.9799,0.5349,0.0,0.3633
Closure_76,4,6,0.879967,0.53815,0.0,0.6529
Closure_79,2,1,0.9748,1.0,0.3333,0.3754
Closure_80,2,1,0.4243,0.6592,0.0,0.1939
Closure_84,3,3,0.870833,0.5024,0.0,0.471
Closure_85,3,3,0.948833,0.619367,0.0,0.6454
Closure_89,2,1,0.9512,1.0,0.3333,0.3663
Closure_9,2,1,0.969,0.5268,0.0,0.3538
Closure_90,2,1,0.9422,1.0,0.5714,0.4665
Closure_98,3,3,0.9655,0.369,0.0,0.3879
Closure_99,2,1,0.9892,0.7541,0.0,0.5171
Codec_1,3,3,0.6503,1.0,0.25,0.3572
Codec_11,7,21,0.948119,0.255381,0.0,0.474
Codec_12,2,1,0.994,0.0,0.0,0.0
Codec_13,3,3,0.995467,0.832067,0.2222,0.5858
Codec_14,5,10,0.98251,0.81611,0.14,0.7006
Codec_6,3,3,0.973533,0.438333,0.0,0.4685
Codec_8,2,1,0.9753,1.0,0.25,0.338
Collections_25,3,3,0.122133,0.584,0.0,0.0784
Compress_10,2,1,0.9999,0.302,0.0,0.2093
Compress_11,2,1,1.0,0.5714,0.0,0.3961
Compress_2,6,15,0.91822,0.328913,0.0,0.5406
Compress_20,6,15,0.485113,0.6176,0.0,0.5219
Compress_22,7,21,0.806786,0.563676,0.0,0.854
Compress_29,14,91,0.595053,0.953485,0.268132,0.8019
Compress_3,4,6,0.84605,0.456267,0.0,0.5396
Compress_33,3,3,0.9816,0.745133,0.2,0.4669
Compress_34,2,1,0.9486,0.5,0.0,0.3288
Compress_35,2,1,0.9809,0.5615,0.0,0.3817
Compress_39,2,1,0.9935,0.416,0.0,0.2865
Compress_4,4,6,0.47375,1.0,0.35,0.3766
Compress_40,3,3,0.9802,0.3915,0.0,0.421
Compress_42,2,1,0.988,1.0,0.2,0.3196
Compress_43,4,6,0.939183,0.516967,0.0,0.6706
Compress_47,3,3,0.9549,0.549733,0.0,0.5763
Compress_6,2,1,0.9858,0.6055,0.0,0.4138
