bug_id,hunk_count,divergence
JacksonDatabind_23,7,0.0570
JacksonDatabind_25,4,1.0000
JacksonDatabind_29,2,0.0000
JacksonDatabind_30,6,0.7742
JacksonDatabind_31,13,0.1941
JacksonDatabind_32,2,0.0000
JacksonDatabind_36,2,0.0000
JacksonDatabind_38,6,0.8045
JacksonDatabind_41,2,0.1552
JacksonDatabind_43,2,0.1667
JacksonDatabind_48,2,0.6667
JacksonDatabind_50,6,0.0864
JacksonDatabind_52,2,1.0000
JacksonDatabind_53,7,0.7422
JacksonDatabind_54,2,0.3448
JacksonDatabind_55,3,0.2456
JacksonDatabind_56,2,0.1935
JacksonDatabind_59,4,0.7929
JacksonDatabind_60,4,0.0909
JacksonDatabind_61,3,0.8571
JacksonDatabind_65,3,0.9143
JacksonDatabind_66,3,0.0808
JacksonDatabind_68,10,0.1804
JacksonDatabind_69,6,0.1758
JacksonDatabind_72,2,0.0000
JacksonDatabind_73,4,0.8735
JacksonDatabind_75,3,0.4667
JacksonDatabind_77,2,0.0000
JacksonDatabind_78,3,0.0000
JacksonDatabind_79,4,0.9375
JacksonDatabind_80,3,0.0202
JacksonDatabind_81,7,0.1327
JacksonDatabind_87,8,0.1458
JacksonDatabind_90,2,0.8000
JacksonDatabind_94,2,0.0000
JacksonDatabind_95,4,0.8592
JacksonDatabind_103,26,0.9887
JacksonDatabind_104,3,0.1749
JacksonDatabind_105,2,0.0000
JacksonDatabind_108,2,0.1200
JacksonDatabind_109,5,0.8182
JacksonDatabind_110,3,0.1818
JacksonDatabind_111,9,0.8114
JacksonXml_1,2,0.4348
JacksonXml_2,4,0.0882
JacksonXml_6,2,0.0000
Jsoup_3,13,0.8735
Jsoup_4,2,0.0000
Jsoup_7,3,0.0000
Jsoup_11,4,0.0000
Jsoup_12,2,0.0968
Jsoup_14,2,1.0000
Jsoup_16,3,0.1111
Jsoup_18,2,0.1765
Jsoup_21,3,0.8216
Jsoup_22,6,0.8703
Jsoup_23,2,1.0000
Jsoup_28,6,0.8454
Jsoup_29,2,0.1667
Jsoup_30,3,0.1437
Jsoup_31,3,1.0000
Jsoup_36,4,0.2727
Jsoup_42,2,0.5263
Jsoup_50,2,0.1131
Jsoup_52,4,0.9583
Jsoup_56,10,0.9167
Jsoup_58,4,0.9251
Jsoup_59,2,0.0000
Jsoup_60,2,0.7143
Jsoup_63,5,0.7536
Jsoup_65,3,0.8879
Jsoup_66,2,0.2143
Jsoup_67,2,0.0000
Jsoup_71,3,0.8182
Jsoup_73,4,0.1739
Jsoup_74,2,0.3333
Jsoup_78,2,0.2381
Jsoup_79,2,0.0000
Jsoup_81,2,0.0000
Jsoup_83,4,0.8083
Jsoup_87,47,0.8611
Jsoup_91,3,0.7857
Jsoup_92,8,0.8960
JxPath_1,2,1.0000
JxPath_2,4,0.0000
JxPath_3,4,0.0000
JxPath_4,7,0.8011
JxPath_7,7,0.7368
JxPath_9,5,0.7876
JxPath_11,5,0.7304
JxPath_13,11,0.7547
JxPath_15,2,0.6842
JxPath_16,2,0.6000
JxPath_17,5,0.7628
JxPath_18,4,0.1333
JxPath_19,3,0.7704
JxPath_20,2,0.3571
Lang_4,3,0.3158
Lang_5,2,0.0000
Lang_7,2,0.0800
Lang_8,3,0.1795
Lang_13,3,0.2667
Lang_15,2,0.2500
Lang_19,3,0.4211
Lang_20,2,0.0938
Lang_23,2,0.0000
Lang_27,2,0.2593
Lang_30,7,0.2039
Lang_32,4,0.1238
