bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_package,avg_divergence
Closure_60,2,1,1.0,0.1667,0.0,0.0833
Closure_64,2,1,0.9387,0.2963,0.0,0.1391
Closure_68,3,3,0.666667,0.2778,0.0,0.138867
Closure_72,2,1,1.0,1.0,0.0,0.3333
Closure_74,2,1,1.0,0.0833,0.0,0.0417
Closure_75,2,1,0.6962,0.1667,0.0,0.058
Closure_76,4,6,0.94345,0.31035,0.0,0.143083
Closure_79,2,1,1.0,1.0,0.0,0.3333
Closure_80,2,1,0.0,0.0,0.0,0.0
Closure_84,3,3,0.0,0.0,0.0,0.0
Closure_85,3,3,0.934833,0.333333,0.0,0.150367
Closure_89,2,1,1.0,1.0,0.0,0.3333
Closure_9,2,1,1.0,0.1739,0.0,0.087
Closure_90,2,1,1.0,1.0,0.3,0.5333
Closure_98,3,3,0.666667,0.0,0.0,0.0
Closure_99,2,1,1.0,0.2727,0.0,0.1364
Codec_1,3,3,0.238233,1.0,0.0,0.0794
Codec_11,7,21,0.844657,0.124224,0.0,0.06049
Codec_12,2,1,0.8571,0.0,0.0,0.0
Codec_13,3,3,0.666667,0.7,0.444467,0.275933
Codec_14,5,10,0.87985,0.74444,0.0,0.23537
Codec_6,3,3,0.666667,0.2424,0.0,0.1212
Codec_8,2,1,0.6836,1.0,0.0,0.2279
Collections_25,3,3,0.063267,0.3158,0.0,0.01
Compress_10,2,1,1.0,0.0882,0.0,0.0441
Compress_11,2,1,0.0,0.0,0.0,0.0
Compress_2,6,15,0.836527,0.122827,0.0,0.051507
Compress_20,6,15,0.257,0.24,0.0,0.030827
Compress_22,7,21,0.517905,0.233743,0.0,0.052871
Compress_29,14,91,0.265502,0.931319,0.351648,0.132531
Compress_3,4,6,0.0,0.0,0.0,0.0
Compress_33,3,3,0.666667,0.666667,0.166667,0.166667
Compress_34,2,1,1.0,0.2,0.0,0.1
Compress_35,2,1,0.7949,0.4,0.0,0.159
Compress_39,2,1,1.0,0.1304,0.0,0.0652
Compress_4,4,6,0.570167,1.0,0.625,0.463417
Compress_40,3,3,0.8821,0.25,0.0,0.102933
Compress_42,2,1,1.0,1.0,0.0,0.3333
Compress_43,4,6,0.58985,0.21155,0.0,0.062733
Compress_47,3,3,0.666667,0.186667,0.0,0.093333
Compress_6,2,1,1.0,0.1304,0.0,0.0652
Compress_9,2,1,1.0,0.12,0.0,0.06
Csv_13,2,1,0.5,1.0,0.0,0.1667
Csv_16,4,6,0.804967,0.05555,0.0,0.026217
Csv_7,2,1,0.0,0.0,0.0,0.0
Csv_8,2,1,1.0,0.1667,0.0,0.0833
Gson_1,2,1,0.95,0.0,0.0,0.0
Gson_14,2,1,0.0732,0.1875,0.0,0.0069
Gson_3,2,1,1.0,0.1613,0.0,0.0806
Gson_4,12,66,0.42475,0.529098,0.0,0.110582
Gson_7,2,1,0.0,0.2353,0.0,0.0
Gson_8,5,10,0.4,0.0,0.0,0.0
Gson_9,3,3,0.666667,1.0,0.133333,0.266667
JacksonCore_1,3,3,0.629233,0.7193,0.2222,0.3119
JacksonCore_10,2,1,0.6104,0.25,0.0,0.0763
JacksonCore_12,8,28,0.791793,0.350004,0.0,0.103268
JacksonCore_16,3,3,0.666667,0.083333,0.0,0.041667
JacksonCore_17,3,3,0.9516,0.25,0.0,0.115933
JacksonCore_18,4,6,0.812667,0.833333,0.2222,0.354783
JacksonCore_19,2,1,0.0,1.0,0.0,0.0
JacksonCore_2,8,28,0.599671,0.563486,0.0,0.109318
JacksonCore_21,2,1,0.0,0.0,0.0,0.0
JacksonCore_22,7,21,0.544043,0.626381,0.0,0.145962
JacksonCore_24,4,6,0.45705,0.765683,0.0,0.136917
JacksonCore_9,6,15,0.0,0.8,0.17776,0.0
JacksonDatabind_10,5,10,0.67318,0.41668,0.0,0.13272
JacksonDatabind_103,26,325,0.51472,0.978556,0.136055,0.220837
JacksonDatabind_104,3,3,0.8948,0.197533,0.0,0.088067
JacksonDatabind_105,2,1,1.0,0.0,0.0,0.0
JacksonDatabind_108,2,1,1.0,0.12,0.0,0.06
JacksonDatabind_109,5,10,0.4,0.6,0.0,0.06666
JacksonDatabind_110,3,3,0.666667,0.1818,0.0,0.090933
JacksonDatabind_111,9,36,0.513822,0.955022,0.067894,0.182547
JacksonDatabind_13,2,1,0.0,1.0,0.1429,0.0
JacksonDatabind_14,2,1,0.6528,0.2,0.0,0.0653
JacksonDatabind_15,11,55,0.75956,0.684853,0.072733,0.216565
JacksonDatabind_18,9,36,0.829394,0.210539,0.0,0.086436
JacksonDatabind_20,2,1,0.0,0.0,0.0,0.0
JacksonDatabind_21,2,1,1.0,0.0,0.0,0.0
JacksonDatabind_22,12,66,0.717892,0.349503,0.0,0.0897
JacksonDatabind_23,7,21,0.605629,0.120314,0.0,0.033662
JacksonDatabind_25,4,6,0.290067,1.0,0.309533,0.166533
JacksonDatabind_29,2,1,0.0,0.0,0.0,0.0
JacksonDatabind_3,2,1,0.5263,0.6842,0.0,0.1801
JacksonDatabind_30,6,15,0.596407,0.533333,0.076213,0.114293
JacksonDatabind_31,13,78,0.610979,0.203473,0.0,0.049785
JacksonDatabind_32,2,1,1.0,0.0,0.0,0.0
JacksonDatabind_36,2,1,1.0,0.0,0.0,0.0
JacksonDatabind_38,6,15,0.71234,0.840953,0.0,0.19124
JacksonDatabind_4,4,6,0.666667,0.0,0.0,0.0
JacksonDatabind_41,2,1,0.4173,0.2069,0.0,0.0432
JacksonDatabind_43,2,1,1.0,0.1667,0.0,0.0833
JacksonDatabind_48,2,1,0.0,1.0,0.0,0.0
JacksonDatabind_50,6,15,0.333333,0.086433,0.0,0.0432
JacksonDatabind_52,2,1,0.651,1.0,0.1429,0.279
JacksonDatabind_53,7,21,0.88741,0.548438,0.0,0.175495
JacksonDatabind_54,2,1,0.1789,0.3448,0.0,0.0309
JacksonDatabind_55,3,3,0.666667,0.2456,0.0,0.1228
JacksonDatabind_56,2,1,0.97,0.1935,0.0,0.0939
JacksonDatabind_59,4,6,0.5,1.0,0.07145,0.182533
JacksonDatabind_6,2,1,0.5451,0.6818,0.0,0.1858
JacksonDatabind_60,4,6,0.804033,0.0909,0.0,0.042783
JacksonDatabind_61,3,3,0.0,0.666667,0.190467,0.0
JacksonDatabind_65,3,3,0.638567,0.8,0.285733,0.3276
JacksonDatabind_66,3,3,0.666667,0.0808,0.0,0.0404
JacksonDatabind_68,10,45,0.524369,0.241173,0.0,0.052864
JacksonDatabind_69,6,15,0.81924,0.212107,0.0,0.082047
JacksonDatabind_72,2,1,1.0,0.0,0.0,0.0
JacksonDatabind_73,4,6,0.71475,0.704733,0.0,0.146183
JacksonDatabind_75,3,3,0.815267,0.466667,0.0,0.182567
JacksonDatabind_77,2,1,1.0,0.0,0.0,0.0
JacksonDatabind_78,3,3,0.910333,0.0,0.0,0.0
JacksonDatabind_79,4,6,0.78205,0.833333,0.2143,0.388867
JacksonDatabind_8,2,1,1.0,0.1613,0.0,0.0806
JacksonDatabind_80,3,3,0.666667,0.0606,0.0,0.030333
JacksonDatabind_81,7,21,0.66571,0.132652,0.0,0.043471
JacksonDatabind_87,8,28,0.457807,0.145846,0.0,0.071014
JacksonDatabind_90,2,1,1.0,1.0,0.1429,0.4286
JacksonDatabind_94,2,1,1.0,0.0,0.0,0.0
JacksonDatabind_95,4,6,0.374067,0.7184,0.0,0.1058
JacksonXml_1,2,1,0.8688,0.4348,0.0,0.1889
JacksonXml_2,4,6,0.5,0.09525,0.0,0.0476
JacksonXml_6,2,1,1.0,0.0,0.0,0.0
Jsoup_11,4,6,0.0,0.0,0.0,0.0
Jsoup_12,2,1,1.0,0.0968,0.0,0.0484
Jsoup_14,2,1,1.0,1.0,0.0,0.3333
Jsoup_16,3,3,0.666667,0.111133,0.0,0.055533
Jsoup_18,2,1,1.0,0.1765,0.0,0.0882
Jsoup_21,3,3,0.666667,0.717167,0.0,0.136367
Jsoup_22,6,15,0.53874,0.762913,0.333333,0.216573
Jsoup_23,2,1,1.0,1.0,0.0,0.3333
Jsoup_28,6,15,0.797713,0.758153,0.6,0.521393
Jsoup_29,2,1,1.0,0.1667,0.0,0.0833
Jsoup_3,13,78,0.831262,0.716783,0.384615,0.436383
Jsoup_30,3,3,0.945933,0.148133,0.0,0.0681
Jsoup_31,3,3,0.0,1.0,0.0,0.0
Jsoup_36,4,6,0.947117,0.2727,0.0,0.125267
Jsoup_4,2,1,0.7898,0.0,0.0,0.0
Jsoup_42,2,1,1.0,0.5263,0.0,0.2632
Jsoup_50,2,1,1.0,0.125,0.0,0.0625
Jsoup_52,4,6,0.914433,0.888883,0.833333,0.77555
Jsoup_56,10,45,0.708627,0.816667,0.533333,0.45262
Jsoup_58,4,6,0.7661,0.86275,0.583333,0.4699
Jsoup_59,2,1,0.0,0.0,0.0,0.0
Jsoup_60,2,1,1.0,1.0,1.0,1.0
Jsoup_63,5,10,0.50757,0.55651,0.0,0.11752
Jsoup_65,3,3,0.621533,0.738467,0.0,0.179567
Jsoup_66,2,1,0.8337,0.2143,0.0,0.0893
Jsoup_67,2,1,0.0,0.0,0.0,0.0
Jsoup_7,3,3,0.666667,0.0,0.0,0.0
Jsoup_71,3,3,0.0,0.666667,0.0,0.0
Jsoup_73,4,6,0.811917,0.173933,0.0,0.083233
Jsoup_74,2,1,0.7143,0.3333,0.0,0.119
Jsoup_78,2,1,1.0,0.2381,0.0,0.119
Jsoup_79,2,1,1.0,0.0,0.0,0.0
Jsoup_81,2,1,0.0,0.0,0.0,0.0
Jsoup_83,4,6,0.797467,0.616667,0.0,0.213033
Jsoup_87,47,1081,0.608804,0.722736,0.02837,0.190712
Jsoup_91,3,3,0.666667,0.666667,0.2222,0.1852
Jsoup_92,8,28,0.453986,0.796429,0.380971,0.227507
JxPath_1,2,1,0.3519,1.0,0.25,0.1759
JxPath_11,5,10,0.87766,0.70695,0.15,0.2925
JxPath_13,11,55,0.692975,0.560198,0.127273,0.188684
JxPath_15,2,1,0.9214,0.6842,0.0,0.3152
JxPath_16,2,1,0.5347,1.0,0.25,0.2673
JxPath_17,5,10,0.80818,0.77818,0.15,0.29617
JxPath_18,4,6,0.995217,0.13335,0.0,0.066017
JxPath_19,3,3,0.902667,0.75,0.333333,0.421233
JxPath_2,4,6,0.5,0.0,0.0,0.0
JxPath_20,2,1,1.0,0.3571,0.0,0.1786
JxPath_3,4,6,0.5,0.0,0.0,0.0
JxPath_4,7,21,0.936338,0.628776,0.142857,0.291557
JxPath_7,7,21,0.664219,0.857143,0.0,0.189657
JxPath_9,5,10,0.74614,0.79999,0.0,0.20616
Lang_13,3,3,0.666667,0.266667,0.0,0.133333
Lang_15,2,1,0.8102,0.25,0.0,0.1013
Lang_19,3,3,0.712867,0.421067,0.0,0.1494
Lang_20,2,1,0.0717,0.1875,0.0,0.0067
