bug_id,hunk_count,divergence
Gson_3,2,0.0806
Gson_4,12,0.1286
Gson_7,2,0.0000
Gson_8,5,0.0000
Gson_9,3,0.2667
Gson_14,2,0.0069
JacksonCore_1,3,0.3486
JacksonCore_2,8,0.1243
JacksonCore_9,6,0.0000
JacksonCore_10,2,0.0763
JacksonCore_12,8,0.1201
JacksonCore_16,3,0.0417
JacksonCore_17,3,0.1159
JacksonCore_18,4,0.3756
JacksonCore_19,2,0.0000
JacksonCore_21,2,0.0000
JacksonCore_22,7,0.1460
JacksonCore_24,4,0.1488
JacksonDatabind_3,2,0.1801
JacksonDatabind_4,4,0.0000
JacksonDatabind_6,2,0.1858
JacksonDatabind_8,2,0.0806
JacksonDatabind_10,5,0.1624
JacksonDatabind_13,2,0.0000
JacksonDatabind_14,2,0.0653
JacksonDatabind_15,11,0.2390
JacksonDatabind_18,9,0.0864
JacksonDatabind_20,2,0.0000
JacksonDatabind_21,2,0.0000
JacksonDatabind_22,12,0.1078
JacksonDatabind_23,7,0.0337
JacksonDatabind_25,4,0.1665
JacksonDatabind_29,2,0.0000
JacksonDatabind_30,6,0.1353
JacksonDatabind_31,13,0.0498
JacksonDatabind_32,2,0.0000
JacksonDatabind_36,2,0.0000
JacksonDatabind_38,6,0.1976
JacksonDatabind_41,2,0.0432
JacksonDatabind_43,2,0.0833
JacksonDatabind_48,2,0.0000
JacksonDatabind_50,6,0.0432
JacksonDatabind_52,2,0.2790
JacksonDatabind_53,7,0.2002
JacksonDatabind_54,2,0.0309
JacksonDatabind_55,3,0.1228
JacksonDatabind_56,2,0.0939
JacksonDatabind_59,4,0.1825
JacksonDatabind_60,4,0.0428
JacksonDatabind_61,3,0.0000
JacksonDatabind_65,3,0.3564
JacksonDatabind_66,3,0.0404
JacksonDatabind_68,10,0.0529
JacksonDatabind_69,6,0.0820
JacksonDatabind_72,2,0.0000
JacksonDatabind_73,4,0.1573
JacksonDatabind_75,3,0.1826
JacksonDatabind_77,2,0.0000
JacksonDatabind_78,3,0.0000
JacksonDatabind_79,4,0.4118
JacksonDatabind_80,3,0.0303
JacksonDatabind_81,7,0.0435
JacksonDatabind_87,8,0.0710
JacksonDatabind_90,2,0.4286
JacksonDatabind_94,2,0.0000
JacksonDatabind_95,4,0.1144
JacksonDatabind_103,26,0.2225
JacksonDatabind_104,3,0.0881
JacksonDatabind_105,2,0.0000
JacksonDatabind_108,2,0.0600
